"ACCOUNTID";"CODE";"CODE_MA";"IS_CHURN";"CHURN_DATE"
"1711655";"SA580000670";"MA150006342";"0";""
"1711971";"SA330017255";"MA490017246";"1";"30.11.2022"
"1711984";"SA220004358";"MA530010191";"0";""
"1711987";"SA440008503";"MA560008754";"0";""
"1712023";"SA360003011";"MA120016964";"0";""
"1712161";"SA870011890";"MA210006591";"0";""
"1712164";"SA870019103";"MA910021830";"1";"30.04.2022"
"1712186";"SA540009115";"MA400009432";"0";""
"1712273";"SA820021638";"MA780010605";"0";""
"1712282";"SA880000098";"MA240014001";"0";""
"1712408";"SA810003767";"MA480015016";"0";""
"1712436";"SA710009217";"MA410020444";"0";""
"1712538";"SA410015264";"MA550015327";"0";""
"1712569";"SA760019985";"MA360000493";"0";""
"1712633";"SA820019490";"MA840016621";"1";"30.09.2022"
"1712636";"SA400012959";"MA580010463";"0";""
"1712656";"SA160011948";"MA870009480";"0";""
"1712674";"SA980010048";"MA440021298";"0";""
"1712720";"SA160011871";"MA210012083";"0";""
"1713013";"SA240010083";"MA830004789";"0";""
"1713018";"SA630008359";"MA480000144";"0";""
"1713055";"SA840004137";"MA270012641";"0";""
"1713130";"SA100017370";"MA400011897";"0";""
"1713133";"SA280004188";"MA740010008";"0";""
"1713203";"SA150014606";"MA530006453";"0";""
"1713229";"SA560000011";"MA450019409";"0";""
"1713262";"SA880000771";"MA290014729";"0";""
"1713340";"SA190005113";"MA350016317";"1";"28.02.2021"
"1713349";"SA590010880";"MA890016595";"1";"31.12.2021"
"1713408";"SA960008195";"MA700005654";"1";"31.10.2021"
"1713435";"SA190002091";"MA700021603";"1";"31.12.2020"
"1713517";"SA760004891";"MA870010718";"1";"30.11.2021"
"1713580";"SA420011026";"MA150000110";"0";""
"1713796";"SA900007918";"MA100019143";"1";"28.02.2021"
"1713866";"SA120021002";"MA850001473";"0";""
"1713927";"SA290018390";"MA740004577";"0";""
"1713968";"SA460021227";"MA290007343";"0";""
"1714064";"SA500001431";"MA720012677";"0";""
"1714220";"SA260014863";"MA360020458";"0";""
"1714313";"SA690013046";"MA640010557";"0";""
"1714350";"SA770008160";"MA890005616";"1";"31.05.2022"
"1714411";"SA690001369";"MA780007118";"0";""
"1714412";"SA910001981";"MA280015949";"0";""
"1714451";"SA890002227";"MA490005193";"1";"31.01.2021"
"1714638";"SA240002876";"MA380003053";"0";""
"1714867";"SA510011899";"MA880003802";"0";""
"1715044";"SA880004497";"MA490013039";"0";""
"1715046";"SA100003233";"MA440014459";"0";""
"1715082";"SA960005359";"MA240022119";"1";"30.11.2021"
"1715125";"SA480022238";"MA320019350";"1";"31.01.2021"
"1715126";"SA850012406";"MA220004290";"0";""
"1715163";"SA290012646";"MA370012852";"0";""
"1715247";"SA500009959";"MA590015665";"0";""
"1715476";"SA550000088";"MA520005734";"0";""
"1715516";"SA860006976";"MA390020963";"0";""
"1715531";"SA520000295";"MA460016943";"0";""
"1715567";"SA400014115";"MA830003190";"0";""
"1715568";"SA110018385";"MA410021124";"0";""
"1715641";"SA210002756";"MA750008524";"0";""
"1715662";"SA870015349";"MA640015426";"0";""
"1715764";"SA340020128";"MA730000648";"0";""
